PRECINCT,CITY
4171107631,LONGMONT
4171207614,LONGMONT
2181307869,BOULDER
2171207302,LAFAYETTE
4171107624,LONGMONT
2181107918,LONGMONT
2181007842,BOULDER
4171107640,LONGMONT
2173307414,ERIE
2161307902,NEDERLAND
2173307410,LAFAYETTE
2181307871,BOULDER
4171107635,LONGMONT
2181007846,BOULDER
2181107916,ALLENSPARK
2181307910,BOULDER
2171207300,LAFAYETTE
4171207610,LONGMONT
2171207305,LAFAYETTE
2171207304,LAFAYETTE
2161307900,ELDORADO SPRINGS
2181007853,BOULDER
2173307411,ERIE
2181007807,BOULDER
2181007833,BOULDER
2181007809,BOULDER
2181307885,BOULDER
2171207311,LAFAYETTE
2171207303,LAFAYETTE
2171207313,LAFAYETTE
2181007803,BOULDER
2171207208,LOUISVILLE
2181307867,BOULDER
4171107649,LONGMONT
2181107913,BOULDER
2173307410,ERIE
2181307908,BOULDER
2181307887,BOULDER
2173307412,ERIE
2181307879,BOULDER
2181307857,BOULDER
4171107618,LONGMONT
4171207615,LONGMONT
2181007804,BOULDER
2181307865,BOULDER
2181007818,BOULDER
2181007852,BOULDER
2181007819,BOULDER
2181107912,BOULDER
2181007814,BOULDER
2181007827,BOULDER
2181107705,LONGMONT
2171207306,LAFAYETTE
2181007821,BOULDER
2181307868,BOULDER
2171207203,LOUISVILLE
2163307104,SUPERIOR
2181307888,BOULDER
2181007802,BOULDER
2181107506,NIWOT
2181307861,BOULDER
2181007808,BOULDER
2181107506,LONGMONT
2181107917,LYONS
2181007826,BOULDER
2181307872,BOULDER
4171207611,LONGMONT
2171207212,LOUISVILLE
2181007831,BOULDER
4171107616,LONGMONT
2181307919,NEDERLAND
2173307413,ERIE
2171207315,LAFAYETTE
2181007825,BOULDER
2181307877,BOULDER
2181007845,BOULDER
4171107627,LONGMONT
4171107647,LONGMONT
2181007850,BOULDER
2181307864,BOULDER
2181007801,BOULDER
4181107708,LONGMONT
2181307858,BOULDER
2181007828,BOULDER
2181007501,BOULDER
2181307874,BOULDER
2181007843,BOULDER
2181007848,BOULDER
2181307880,BOULDER
2181007829,BOULDER
2163307102,SUPERIOR
4171107633,LONGMONT
2161307901,GOLDEN
2163307107,SUPERIOR
4171107619,LONGMONT
4171207612,LONGMONT
2181007800,BOULDER
2181307875,BOULDER
2171207210,LOUISVILLE
2171207316,LAFAYETTE
4171107621,LONGMONT
2181307873,BOULDER
2171207213,LOUISVILLE
4171107637,LONGMONT
2181207406,LONGMONT
4171107653,LONGMONT
4171207656,LONGMONT
2181007841,BOULDER
2181207403,BOULDER
2181307862,BOULDER
2181107507,LONGMONT
4171107648,LONGMONT
2181307866,BOULDER
2181007503,LONGMONT
2181307884,BOULDER
4171107626,LONGMONT
4171207609,LONGMONT
4171107650,LONGMONT
2181007830,BOULDER
2181307863,BOULDER
4171207604,LONGMONT
4171107642,LONGMONT
2181107507,NIWOT
2181307856,BOULDER
2181107916,LYONS
4171107620,LONGMONT
4171207603,LONGMONT
2181007824,BOULDER
2171207310,LAFAYETTE
2181007503,BOULDER
4171107636,LONGMONT
4171107628,LONGMONT
2181007815,BOULDER
4171107623,LONGMONT
2171207202,LOUISVILLE
2181007502,BOULDER
2181007820,BOULDER
4171207608,LONGMONT
2181307876,BOULDER
2181307903,NEDERLAND
2171207308,LAFAYETTE
2181007811,BOULDER
4171107652,LONGMONT
2181307854,BOULDER
2181007851,BOULDER
4171207657,LONGMONT
2181007812,BOULDER
2171207201,LOUISVILLE
2181007844,BOULDER
2181107704,LONGMONT
2181007837,BOULDER
2181007823,BOULDER
2171207307,LAFAYETTE
2181007835,BOULDER
2163307100,SUPERIOR
4171207602,LONGMONT
2181307855,BOULDER
4171107622,LONGMONT
2181307870,BOULDER
2181007805,BOULDER
2181307909,BOULDER
4171107634,LONGMONT
4171107617,LONGMONT
2181307882,BOULDER
2171207314,LAFAYETTE
2181007839,BOULDER
2181307878,BOULDER
4171107641,LONGMONT
4171107654,LONGMONT
2181107918,LYONS
2181107508,NIWOT
2171207207,LOUISVILLE
2181107505,LONGMONT
2181007836,BOULDER
2181307915,LYONS
2181007816,BOULDER
2181307886,BOULDER
2181007822,BOULDER
2171207309,LAFAYETTE
2173307409,ERIE
2181107505,NIWOT
2181307883,BOULDER
2181007504,LONGMONT
2173307408,ERIE
2163307103,SUPERIOR
4171107632,LONGMONT
2181007834,BOULDER
2181207401,BOULDER
2171207312,LAFAYETTE
4171107646,LONGMONT
2181007849,BOULDER
2181007500,BOULDER
4171107643,LONGMONT
4171207605,LONGMONT
2181107700,LONGMONT
4181107707,LONGMONT
2171207214,LOUISVILLE
2171207205,LOUISVILLE
2161307900,BOULDER
2181007810,BOULDER
2171207215,LOUISVILLE
4171207600,LONGMONT
2181007847,BOULDER
2171207209,LOUISVILLE
2181007813,BOULDER
2181007840,BOULDER
2171207211,LOUISVILLE
4171107644,LONGMONT
4171107655,LONGMONT
4171207607,LONGMONT
2181207402,BOULDER
2181007832,BOULDER
4171107651,LONGMONT
2181307881,BOULDER
2181307911,BOULDER
2181307904,NEDERLAND
2171207204,LOUISVILLE
2181107702,LONGMONT
2181207404,BOULDER
2181007838,BOULDER
4171107638,LONGMONT
2181307860,BOULDER
2171207200,LOUISVILLE
2181107701,LONGMONT
4171207601,LONGMONT
2163307105,SUPERIOR
2163307106,SUPERIOR
2163307101,SUPERIOR
2171207301,LAFAYETTE
4171107625,LONGMONT
2181207405,BOULDER
2181007806,BOULDER
4171207606,LONGMONT
2181307859,BOULDER
4171107630,LONGMONT
2171207206,LOUISVILLE
2171207407,LAFAYETTE
2181307914,JAMESTOWN
7192930156,ARVADA
4171107629,LONGMONT
2181307914,WARD
4181107706,LONGMONT
2161307902,BLACK HAWK
2181307906,BOULDER
4171107639,LONGMONT
4171107645,LONGMONT
2171207407,LONGMONT
7202430289,GOLDEN
2181007817,BOULDER
2181107703,LONGMONT
2173307414,LAFAYETTE
2181107508,LONGMONT
2181207406,LAFAYETTE
2181207406,NIWOT
2181307906,LOUISVILLE
4171207613,LONGMONT
2181107917,LONGMONT
4236362218,LONGMONT
2181307915,WARD
2171207313,LOUISVILLE
2171207407,ERIE
1160116132,DENVER
2173307409,LAFAYETTE
2181107700,BOULDER
7162430093,GOLDEN
3082654018,STEAMBOAT SPRINGS
3055415004,DELTA
7243101093,THORNTON
2181207404,LAFAYETTE
4236362346,ERIE
2181307915,JAMESTOWN
6303918256,LITTLETON
2181107913,LONGMONT
2181307905,NEDERLAND
2181307915,BOULDER
2171207201,BROOMFIELD
4043918406,LARKSPUR
2173307400,BROOMFIELD
2161307900,LOUISVILLE
2181307903,BOULDER
2181307905,GOLDEN
2181307910,JAMESTOWN
4236362210,FIRESTONE
2181307914,BOULDER
4171107617,NIWOT
2181307904,BOULDER
2181307905,BOULDER
2181007804,LONGMONT
4181107708,BERTHOUD
4236362307,ERIE
2233364011,BROOMFIELD
2163307107,LOUISVILLE
4236362200,PLATTEVILLE
7213401027,FEDERAL HGTS
2181307906,ELDORADO SPRINGS
7202330162,LAKEWOOD
2161307902,GOLDEN
2171207316,BOULDER
2181307906,SUPERIOR
1340516507,DENVER
2145335309,FORT COLLINS
1340416416,DENVER
2181207406,BOULDER
2181307908,NEDERLAND
7243501054,WESTMINSTER
4134862151,GREELEY
1340516540,DENVER
2233364006,BROOMFIELD
3065934030,DURANGO
2081325002,GRANBY
7243401103,THORNTON
2173307412,LAFAYETTE
7243401090,NORTHGLENN
2154935417,LYONS
7162430092,GOLDEN
4236362337,LONGMONT
7192930133,WESTMINSTER
1330816839,DENVER
3056133003,LEADVILLE
5121521413,COLO SPRINGS
2181107701,NIWOT
2161307901,PINECLIFFE
2181307915,NEDERLAND
6304318270,LITTLETON
4236362233,FIRESTONE
2171207201,LAFAYETTE
2222230082,LITTLETON
2145335335,FORT COLLINS
7243501065,WESTMINSTER
1330616601,DENVER
2162530036,GOLDEN
2155135542,LOVELAND
3075539030,GRAND JUNCTION
2155135505,LOVELAND
4234962121,WINDSOR
4236362237,FIRESTONE
2181107702,NIWOT
6243101150,THORNTON
5092021301,WOODLAND PARK
2181107705,BERTHOUD
2154935442,BERTHOUD
6304318248,HIGHLANDS RANCH
4236362306,ERIE
2161324005,BLACK HAWK
1222230025,LITTLETON
1340416426,DENVER
7202430192,WHEAT RIDGE
2145235220,FORT COLLINS
2171207209,BOULDER
7202830214,LAKEWOOD
5091421230,COLO SPRINGS
2171207214,BOULDER
4134862246,MILLIKEN
3056149009,BASALT
6273703236,CENTENNIAL
2181107700,NIWOT
2155135528,LOVELAND
4135062325,EVANS
1310616646,DENVER
7243501031,WESTMINSTER
6304318223,HIGHLANDS RANCH
2233364019,BROOMFIELD
2154935414,ESTES PARK
7192930260,WESTMINSTER
4236362209,FREDERICK
4236362332,ERIE
5101821174,COLO SPRINGS
4044518344,CASTLE ROCK
7222830245,LAKEWOOD
4181107706,HYGIENE
3082654009,OAK CREEK
5111821172,COLO SPRINGS
4135062318,GREELEY
2154935415,ESTES PARK
1320616632,DENVER
6273703281,CENTENNIAL
4044518504,CASTLE ROCK
2233364025,BROOMFIELD
2021310009,EVERGREEN
1310216208,DENVER
4236362206,MEAD
7192730270,ARVADA
1340516501,DENVER
2181207404,LOUISVILLE
2233364008,BROOMFIELD
2222530083,LITTLETON
2145235224,FORT COLLINS
2181107917,BOULDER
1222230021,LITTLETON
3065857002,TELLURIDE
7213201219,COMMERCE CITY
6273603335,AURORA
1330716743,DENVER
4234862117,SEVERANCE
1320216239,DENVER
7213501014,WESTMINSTER
2181107703,NIWOT
